Date,AGG,BIL,BND,EDV,IEF,IEI,SGOV,SHV,SHY,TLH,TLT,VGIT
2019-10-03,113.63999938964844,91.4800033569336,84.80000305175781,143.8000030517578,113.58999633789062,127.69999694824219,,110.5199966430664,85.05000305175781,151.14999389648438,144.9199981689453,67.19999694824219
2019-10-04,113.81999969482422,91.4800033569336,84.94000244140625,145.35000610351562,113.80999755859375,127.80000305175781,,110.55999755859375,85.04000091552734,151.72999572753906,145.99000549316406,67.26000213623047
2019-10-07,113.51000213623047,91.48999786376953,84.72000122070312,143.67999267578125,113.43000030517578,127.51000213623047,,110.55000305175781,84.94999694824219,151.02999877929688,144.77999877929688,67.0999984741211
2019-10-08,113.55000305175781,91.48999786376953,84.76000213623047,144.13999938964844,113.66999816894531,127.66999816894531,,110.55000305175781,85.0,151.38999938964844,145.1699981689453,67.22000122070312
2019-10-09,113.48999786376953,91.48999786376953,84.66000366210938,142.86000061035156,113.37999725341797,127.5199966430664,,110.55000305175781,84.94999694824219,150.7100067138672,144.35000610351562,67.08999633789062
2019-10-10,113.0999984741211,91.51000213623047,84.4000015258789,140.02000427246094,112.66999816894531,127.04000091552734,,110.58999633789062,84.8499984741211,149.13999938964844,142.1999969482422,66.79000091552734
2019-10-11,112.7300033569336,91.5199966430664,84.08999633789062,137.89999389648438,111.9000015258789,126.56999969482422,,110.55999755859375,84.7699966430664,147.67999267578125,140.44000244140625,66.48999786376953
2019-10-14,112.91999816894531,91.51000213623047,84.2300033569336,139.1300048828125,112.20999908447266,126.6500015258789,,110.58000183105469,84.77999877929688,148.2899932861328,141.4600067138672,66.56999969482422
2019-10-15,112.55000305175781,91.5199966430664,84.01000213623047,136.75999450683594,111.66999816894531,126.37999725341797,,110.58000183105469,84.76000213623047,147.0800018310547,139.75,66.37999725341797
2019-10-16,112.75,91.52999877929688,84.0999984741211,137.0500030517578,111.88999938964844,126.55999755859375,,110.5999984741211,84.80000305175781,147.4199981689453,139.9199981689453,66.5
2019-10-17,112.72000122070312,91.54000091552734,84.0999984741211,136.52000427246094,111.8499984741211,126.5199966430664,,110.63999938964844,84.80000305175781,147.24000549316406,139.5800018310547,66.4800033569336
2019-10-18,112.80000305175781,91.54000091552734,84.13999938964844,136.52000427246094,111.94999694824219,126.62999725341797,,110.63999938964844,84.83000183105469,147.33999633789062,139.5800018310547,66.54000091552734
2019-10-21,112.48999786376953,91.55000305175781,83.94000244140625,134.91000366210938,111.54000091552734,126.3499984741211,,110.62999725341797,84.79000091552734,146.5,138.52999877929688,66.37000274658203
2019-10-22,112.66000366210938,91.55000305175781,84.08999633789062,136.0800018310547,111.80000305175781,126.5,,110.62999725341797,84.81999969482422,147.08999633789062,139.33999633789062,66.47000122070312
2019-10-23,112.75,91.55000305175781,84.12999725341797,136.2899932861328,111.83999633789062,126.44999694824219,,110.62999725341797,84.80999755859375,147.2100067138672,139.47999572753906,66.45999908447266
2019-10-24,112.77999877929688,91.56999969482422,84.13999938964844,135.8800048828125,111.81999969482422,126.4800033569336,,110.63999938964844,84.80999755859375,147.02000427246094,139.1999969482422,66.47000122070312
2019-10-25,112.62000274658203,91.56999969482422,84.0,135.02000427246094,111.58000183105469,126.29000091552734,,110.66000366210938,84.76000213623047,146.5800018310547,138.52000427246094,66.3499984741211
2019-10-28,112.37999725341797,91.55999755859375,83.81999969482422,133.44000244140625,111.16000366210938,126.11000061035156,,110.66000366210938,84.7300033569336,145.63999938964844,137.25999450683594,66.22000122070312
2019-10-29,112.38999938964844,91.58000183105469,83.83999633789062,133.5399932861328,111.26000213623047,126.12999725341797,,110.66000366210938,84.75,145.77000427246094,137.35000610351562,66.23999786376953
2019-10-30,112.70999908447266,91.58999633789062,84.11000061035156,136.05999755859375,111.80000305175781,126.44000244140625,,110.66999816894531,84.80000305175781,147.08999633789062,139.36000061035156,66.43000030517578
2019-10-31,113.1500015258789,91.5999984741211,84.51000213623047,138.49000549316406,112.51000213623047,126.97000122070312,,110.72000122070312,84.94999694824219,148.49000549316406,141.24000549316406,66.73999786376953
2019-11-01,112.93000030517578,91.45999908447266,84.25,137.9499969482422,112.12999725341797,126.61000061035156,,110.52999877929688,84.76000213623047,147.8300018310547,140.55999755859375,66.52999877929688
2019-11-04,112.6500015258789,91.47000122070312,84.01000213623047,135.6300048828125,111.55999755859375,126.30999755859375,,110.54000091552734,84.69999694824219,146.52000427246094,138.7100067138672,66.33999633789062
2019-11-05,112.2300033569336,91.45999908447266,83.72000122070312,133.47999572753906,110.95999908447266,125.93000030517578,,110.5199966430664,84.63999938964844,145.3300018310547,137.14999389648438,66.08999633789062
2019-11-06,112.4000015258789,91.47000122070312,83.9000015258789,134.72000122070312,111.27999877929688,126.13999938964844,,110.52999877929688,84.69000244140625,145.97999572753906,137.97999572753906,66.22000122070312
2019-11-07,111.87000274658203,91.48999786376953,83.47000122070312,131.4199981689453,110.38999938964844,125.56999969482422,,110.54000091552734,84.58999633789062,144.0800018310547,135.47999572753906,65.9000015258789
2019-11-08,111.80999755859375,91.48999786376953,83.38999938964844,130.52999877929688,110.23999786376953,125.5199966430664,,110.55000305175781,84.5999984741211,143.64999389648438,134.91000366210938,65.8499984741211
2019-11-11,111.83000183105469,91.48999786376953,83.44000244140625,130.75999450683594,110.36000061035156,125.56999969482422,,110.54000091552734,84.62000274658203,143.8699951171875,135.0,65.9000015258789
2019-11-12,111.94999694824219,91.5,83.48999786376953,131.41000366210938,110.41000366210938,125.6500015258789,,110.55999755859375,84.62999725341797,144.1999969482422,135.6199951171875,65.91999816894531
2019-11-13,112.1500015258789,91.5,83.63999938964844,132.64999389648438,110.70999908447266,125.87000274658203,,110.55999755859375,84.66999816894531,144.74000549316406,136.5,66.05000305175781
2019-11-14,112.47000122070312,91.51000213623047,83.87999725341797,134.3800048828125,111.2699966430664,126.23999786376953,,110.58999633789062,84.75,145.74000549316406,137.91000366210938,66.2699966430664
2019-11-15,112.41000366210938,91.5,83.8499984741211,134.07000732421875,111.18000030517578,126.11000061035156,,110.58999633789062,84.72000122070312,145.5800018310547,137.75999450683594,66.19999694824219
2019-11-18,112.62000274658203,91.5199966430664,83.97000122070312,134.4499969482422,111.37000274658203,126.25,,110.58999633789062,84.76000213623047,145.9499969482422,138.00999450683594,66.29000091552734
2019-11-19,112.69999694824219,91.51000213623047,84.05999755859375,135.89999389648438,111.58000183105469,126.29000091552734,,110.58000183105469,84.75,146.5800018310547,139.16000366210938,66.33000183105469
2019-11-20,112.97000122070312,91.5199966430664,84.29000091552734,137.83999633789062,111.98999786376953,126.55000305175781,,110.58000183105469,84.79000091552734,147.5500030517578,140.60000610351562,66.48999786376953
2019-11-21,112.80999755859375,91.5199966430664,84.1500015258789,137.0800018310547,111.70999908447266,126.37999725341797,,110.58999633789062,84.75,147.00999450683594,139.72000122070312,66.38999938964844
2019-11-22,112.87000274658203,91.52999877929688,84.19999694824219,137.16000366210938,111.69000244140625,126.3499984741211,,110.5999984741211,84.73999786376953,147.05999755859375,139.89999389648438,66.37999725341797
2019-11-25,112.9800033569336,91.52999877929688,84.27999877929688,137.85000610351562,111.73999786376953,126.36000061035156,,110.61000061035156,84.75,147.3000030517578,140.30999755859375,66.37999725341797
